ID Modele;Nom Modele;ID Propriete;Nom
17;Traité - Clavier AT;100;Liaison
17;Traité - Clavier AT;101;Nombre de touches
17;Traité - Clavier AT;108;Touches multimédia
17;Traité - Clavier AT;110;Rétroéclairage
17;Traité - Clavier AT;18;Utilisation
17;Traité - Clavier AT;33;Connectiques
17;Traité - Clavier AT;548;Spécificités Web Déstockage
17;Traité - Clavier AT;59;Compatibilité
17;Traité - Clavier AT;70;Ecran
17;Traité - Clavier AT;73;Garantie
17;Traité - Clavier AT;99;Type de clavier
18;Traité - Souris AM;4889;Spécificités Web Déstockage
18;Traité - Souris AM;26343;En-tête|Compatibilité
18;Traité - Souris AM;26622;Périphérique(s) d'entrée|Nombre de boutons
18;Traité - Souris AM;26399;Périphérique(s) d'entrée|Technologie de connectivité
18;Traité - Souris AM;26625;Périphérique(s) d'entrée|Technologie de détection de mouvement
18;Traité - Souris AM;100;Liaison
18;Traité - Souris AM;115;Boutons
18;Traité - Souris AM;116;Molette
18;Traité - Souris AM;33;Connectiques
18;Traité - Souris AM;40;Batterie
18;Traité - Souris AM;548;Spécificités Web Déstockage
18;Traité - Souris AM;59;Compatibilité
18;Traité - Souris AM;96;Technologie
18;Traité - Souris AM;98;Résolution
19;Traité - Micro-casque / Casque;4889;Spécificités Web Déstockage
19;Traité - Micro-casque / Casque;27184;Entrée audio|Technologie de connectivité
19;Traité - Micro-casque / Casque;28771;Entrée audio|Technologie sans fil
19;Traité - Micro-casque / Casque;26614;Sortie audio|Facteur de forme du casque
19;Traité - Micro-casque / Casque;26375;Sortie audio|Mode de sortie audio
19;Traité - Micro-casque / Casque;26615;Sortie audio|Réponse de fréquence
19;Traité - Micro-casque / Casque;26616;Sortie audio|Technologie de connectivité
19;Traité - Micro-casque / Casque;27095;Sortie audio|Technologie sans fil
19;Traité - Micro-casque / Casque;26618;Sortie audio|Type de produit
19;Traité - Micro-casque / Casque;27096;Télécommande|Commandes audio
19;Traité - Micro-casque / Casque;100;Liaison
19;Traité - Micro-casque / Casque;102;Type de casque
19;Traité - Micro-casque / Casque;103;Micro
19;Traité - Micro-casque / Casque;104;Contrôle du volume
19;Traité - Micro-casque / Casque;105;Acoustique
19;Traité - Micro-casque / Casque;106;Fréquences
19;Traité - Micro-casque / Casque;33;Connectiques
19;Traité - Micro-casque / Casque;548;Spécificités Web Déstockage
21;Traité - Microphone;4889;Spécificités Web Déstockage
21;Traité - Microphone;27184;Entrée audio|Technologie de connectivité
21;Traité - Microphone;28771;Entrée audio|Technologie sans fil
21;Traité - Microphone;26616;Sortie audio|Technologie de connectivité
21;Traité - Microphone;27095;Sortie audio|Technologie sans fil
21;Traité - Microphone;23;Connexion et interfaces
21;Traité - Microphone;548;Spécificités Web Déstockage
23;Traité - Haut-parleurs;4889;Spécificités Web Déstockage
23;Traité - Haut-parleurs;27186;Système de haut-parleurs|Configuration du système de haut-parleurs
23;Traité - Haut-parleurs;27120;Système de haut-parleurs|Puissance Max de Sortie du Système Audio
23;Traité - Haut-parleurs;26829;Système de haut-parleurs|Technologie de connectivité
23;Traité - Haut-parleurs;26538;Télécommande|Télécommande
23;Traité - Haut-parleurs;100;Liaison
23;Traité - Haut-parleurs;111;Type
23;Traité - Haut-parleurs;112;Télécommande
23;Traité - Haut-parleurs;113;Puissance
23;Traité - Haut-parleurs;114;Compatible MP3
23;Traité - Haut-parleurs;18;Utilisation
23;Traité - Haut-parleurs;33;Connectiques
23;Traité - Haut-parleurs;39;Tuner FM
23;Traité - Haut-parleurs;548;Spécificités Web Déstockage
24;Traité - Lecteur MP3 – MP4;4889;Spécificités Web Déstockage
24;Traité - Lecteur MP3 – MP4;26757;Mémoire flash|Taille installée
24;Traité - Lecteur MP3 – MP4;27069;Stockage interne|Capacité
24;Traité - Lecteur MP3 – MP4;26758;Stockage numérique|Capacité
24;Traité - Lecteur MP3 – MP4;26765;Système audio|Sous-catégorie
24;Traité - Lecteur MP3 – MP4;26536;Système radio|Bandes du tuner
24;Traité - Lecteur MP3 – MP4;128;TNT
24;Traité - Lecteur MP3 – MP4;129;USB Host
24;Traité - Lecteur MP3 – MP4;153;Lecture Vidéo
24;Traité - Lecteur MP3 – MP4;155;Connectique
24;Traité - Lecteur MP3 – MP4;166;Ecran Tactile
24;Traité - Lecteur MP3 – MP4;173;Mémoire
24;Traité - Lecteur MP3 – MP4;174;Lecteur Photo
24;Traité - Lecteur MP3 – MP4;175;Magnétoscope Numérique
24;Traité - Lecteur MP3 – MP4;176;TAILLE ECRAN
24;Traité - Lecteur MP3 – MP4;185;Tuner FM
24;Traité - Lecteur MP3 – MP4;25;Taille écran
24;Traité - Lecteur MP3 – MP4;36;Capacité  mémoire
24;Traité - Lecteur MP3 – MP4;41;Dictaphone
24;Traité - Lecteur MP3 – MP4;548;Spécificités Web Déstockage
24;Traité - Lecteur MP3 – MP4;66;Format carte
